hour	cf
1842	0.299
1843	0.276
1844	0.292
1845	0.276
1846	0.262
1847	0.252
1848	0.218
1849	0.197
1850	0.199
1851	0.212
1852	0.252
1853	0.307
1854	0.44
1855	0.514
1856	0.462
1857	0.388
1858	0.31
1859	0.327
1860	0.447
1861	0.484
1862	0.447
1863	0.379
1864	0.298
1865	0.243
1866	0.206
1867	0.221
1868	0.262
1869	0.28
1870	0.273
1871	0.26
1872	0.234
1873	0.252
1874	0.268
1875	0.274
1876	0.262
1877	0.246
1878	0.242
1879	0.261
1880	0.267
1881	0.26
1882	0.248
1883	0.32
1884	0.392
1885	0.483
1886	0.58
1887	0.624
1888	0.656
1889	0.624
1890	0.656
1891	0.654
1892	0.617
1893	0.587
1894	0.578
1895	0.636
1896	0.607
1897	0.563
1898	0.553
1899	0.503
1900	0.49
1901	0.466
1902	0.406
1903	0.345
1904	0.302
1905	0.262
1906	0.242
1907	0.26
1908	0.278
1909	0.281
1910	0.325
1911	0.341
1912	0.292
1913	0.276
1914	0.315
1915	0.368
1916	0.408
1917	0.447
1918	0.533
1919	0.628
1920	0.706
1921	0.785
1922	0.843
1923	0.884
1924	0.926
1925	0.931
1926	0.919
1927	0.896
1928	0.858
1929	0.769
1930	0.652
1931	0.654
1932	0.692
1933	0.703
1934	0.72
1935	0.747
1936	0.763
1937	0.747
1938	0.676
1939	0.599
1940	0.57
1941	0.593
1942	0.623
1943	0.618
1944	0.581
1945	0.532
1946	0.51
1947	0.471
1948	0.404
1949	0.351
1950	0.315
1951	0.256
1952	0.182
1953	0.115
1954	0.097
1955	0.088
1956	0.086
1957	0.097
1958	0.116
1959	0.131
1960	0.126
1961	0.123
1962	0.129
1963	0.166
1964	0.214
1965	0.238
1966	0.28
1967	0.325
1968	0.369
1969	0.417
1970	0.442
1971	0.441
1972	0.481
1973	0.532
1974	0.549
1975	0.537
1976	0.578
1977	0.552
1978	0.668
1979	0.796
1980	0.824
1981	0.838
1982	0.855
1983	0.836
1984	0.749
1985	0.693
1986	0.655
1987	0.601
1988	0.493
1989	0.407
1990	0.395
1991	0.413
1992	0.425
1993	0.407
1994	0.387
1995	0.381
1996	0.372
1997	0.328
1998	0.276
1999	0.23
2000	0.174
2001	0.109
2002	0.094
2003	0.082
2004	0.083
2005	0.086
2006	0.09
2007	0.09
2008	0.084
2009	0.077
2010	0.068
2011	0.056
2012	0.034
2013	0.018
2014	0.019
2015	0.038
2016	0.07
2017	0.109
2018	0.139
2019	0.158
2020	0.162
2021	0.163
2022	0.18
2023	0.198
2024	0.186
2025	0.177
2026	0.241
2027	0.284
2028	0.295
2029	0.308
2030	0.308
2031	0.296
2032	0.272
2033	0.249
2034	0.224
2035	0.218
2036	0.209
2037	0.196
2038	0.205
2039	0.226
2040	0.248
2041	0.258
2042	0.267
2043	0.286
2044	0.284
2045	0.287
2046	0.276
2047	0.268
2048	0.25
2049	0.22
2050	0.209
2051	0.232
2052	0.283
2053	0.278
2054	0.257
2055	0.228
2056	0.196
2057	0.171
2058	0.174
2059	0.203
2060	0.207
2061	0.193
2062	0.18
2063	0.177
2064	0.193
2065	0.225
2066	0.265
2067	0.296
2068	0.295
2069	0.256
2070	0.217
2071	0.193
2072	0.151
2073	0.142
2074	0.174
2075	0.267
2076	0.391
2077	0.435
2078	0.434
2079	0.436
2080	0.437
2081	0.419
2082	0.418
2083	0.449
2084	0.462
2085	0.464
2086	0.495
2087	0.496
2088	0.481
2089	0.478
2090	0.423
2091	0.327
2092	0.332
2093	0.355
2094	0.291
2095	0.294
2096	0.258
2097	0.257
2098	0.314
2099	0.33
2100	0.332
2101	0.327
2102	0.308
2103	0.279
2104	0.235
2105	0.177
2106	0.163
2107	0.174
2108	0.191
2109	0.203
2110	0.207
2111	0.199
2112	0.202
2113	0.198
2114	0.19
2115	0.199
2116	0.189
2117	0.171
2118	0.136
2119	0.099
2120	0.08
2121	0.079
2122	0.11
2123	0.144
2124	0.191
2125	0.239
2126	0.271
2127	0.288
2128	0.297
2129	0.294
2130	0.262
2131	0.262
2132	0.303
2133	0.305
2134	0.293
2135	0.275
2136	0.26
2137	0.243
2138	0.228
